t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3
0.64189,-2.1496248593235117,-2.289282950427349,3.5985920150686157,0.7841649325511475,0.40103298730509507,-0.1469866145938731,-0.45016978669487095,5.91000519365314,6.760499476492719,0.17964031717837833,-0.3101434562933237,0.2925972379033554,0.3223087531046929,6.1903733329447395,4.245277326684069,-0.958830651525006,-0.09421484087549986,-0.10095946138023432,1.638825401941831e-05,4.178970696785886,4.17899955553836,4.178996221768982,4.178998674546271,0.9705101002536206,0.006723130172637709,0.08971115295174648,0.999279734796636,4.648913547596216e-05,0.04678449069036096,0.9993860169394984,4.825278424453743e-05,0.04500714074392715,0.9995952505385527,4.050534028610624e-05,0.04495187453885654
0.673984,-1.956731957553231,-2.0701217547139836,3.603871222118951,0.7891564036998884,0.3984382574692031,-0.14314254176156652,-0.4449599288642309,6.108682008281256,6.896749445778067,0.14886714577707122,-0.3131672326423561,0.2893569964647904,0.32230927907718776,5.887853767479085,4.242126072844607,-1.046590007977204,-0.09338893723055464,-0.10221744387835807,2.569957742690778e-05,4.178954944632869,4.178999550807437,4.178994381040291,4.178998760381109,0.9589522694404778,0.011557830813142747,0.08990204060670426,0.999231402310367,4.8332486268999924e-05,0.04692571165634872,0.9993346464828444,5.137045665390185e-05,0.04500911121172324,0.9995507388382887,4.4511700263930556e-05,0.044958714134406254
0.706079,-1.757618782676572,-1.8465888569250932,3.6081175118630835,0.7941015833343517,0.3957528096765149,-0.13930773562901327,-0.4397450896205525,6.297649614692554,7.032898277209324,0.11527738344401138,-0.31616450204317353,0.2860763807317939,0.32231010389176773,5.589414528613087,4.2337047482177494,-1.1334946125446375,-0.09294659209012102,-0.10393454650394608,5.127907907903723e-05,4.178912620857142,4.178999545733976,4.178990460648409,4.17899881733982,0.9341615430718474,0.024790726368630465,0.08997869421622634,0.9991810631668058,5.0339143561138245e-05,0.04708537736470393,0.9992799243812058,5.4722101638707e-05,0.045011605516951575,0.9995015951110876,4.914372720112055e-05,0.044964736182164504
0.738173,-1.5525948484822276,-1.618690221131172,3.6112409237642273,0.7989999468274566,0.3929767967289438,-0.13548374465889074,-0.4345255771620658,6.477038968848469,7.168776830603729,0.07889846299667665,-0.31914757460662097,0.2827406554825061,0.3223117496671581,5.295007289558463,4.219965113016129,-1.219404826453391,-0.09533052755271038,-0.1087493646545251,0.00019373699949601985,4.178687492031842,4.178999540048287,4.178979519094357,4.178998846819598,0.8474471729275934,0.08671437014425398,0.08999826725792445,0.9991285368786178,5.252628818797188e-05,0.047266366996285586,0.9992216404295724,5.8283951633325436e-05,0.04501477585166537,0.9994470308892655,5.45642218222704e-05,0.044970159992167136
0.770268,-1.3419654911961898,-1.3864372621540588,3.6131524518251332,0.803851191917564,0.39010932849509905,-0.131672505219055,-0.4293021366305811,6.646979475687287,7.304214417547616,0.039762298886415394,-0.32220715833967195,0.2792504011472131,0.32231796755546066,4.851161438362518,4.039501369449369,-1.1267386856602966,-4.743209984372457,-4.80947874804815,0.19125808946939118,3.891322626399107,4.178999533701183,4.1789294608345555,4.178998848843769,0.14957922099562898,0.6978679519319645,0.08999998309310935,0.9990736233686278,5.491350998999392e-05,0.04747208734550686,0.9991596213898755,6.201903969690046e-05,0.045018818437178705,0.9993860383794831,6.099250978229006e-05,0.04497520357440473
0.802362,-1.1261115389519292,-1.1499263676478524,3.6138585965728693,0.8089833609562107,0.38566005226111594,-0.12835504203166873,-0.42466131074514124,6.802674980624165,7.433860114439105,0.0036002064009901624,-0.4744380174693127,0.12489268049108553,0.3284562965291612,4.531152783256448,3.883110166393625,-1.226520131076372,-5.705267065606533,-6.200628923885166,0.23294080808888348,3.8190103599966285,4.178999526731561,4.169297992678921,4.178998823506235,0.06142953358117344,0.08814968741445554,0.08999832354729087,0.9990161012819347,5.752208669299126e-05,0.047706467370240695,0.9990937422419378,6.587914793762605e-05,0.04502398940963078,0.9993173199513987,6.871842808450846e-05,0.044980117999337293
0.834456,-0.9054263332763782,-0.9093261356150916,3.6133588228295324,0.8147593619564538,0.3777793983245259,-0.12621884351651658,-0.42132969441762347,6.9480999741023,7.558486516954016,-0.03576431971291298,-0.6575455985848122,-0.07411328199784345,0.3359324106920502,4.3935410334462865,3.7925698303794046,-1.6153846877390898,-1.9077802131213248,-2.1950805386183685,0.07951400950405435,4.058864007377081,4.178999519287746,4.178434694521953,4.178998771246717,0.03790646891139838,0.023523064669775065,0.0899763356675027,0.998955725522334,6.037575960075049e-05,0.047974077868679854,0.9990239319363657,6.981030557211476e-05,0.04503063227540355,0.9992392343338469,7.808561755178896e-05,0.044985250418395066
0.866551,-0.6801450164872141,-0.6647653728262964,3.6113993755384204,0.8209274264084813,0.36733062770210867,-0.12503072732933213,-0.4189435370732968,7.089108389995013,7.680207074443565,-0.0876092516576502,-0.7187748129419355,-0.1445632509753057,0.3384843714990829,4.172518612225978,3.5617375443842,-1.9157556380902214,-0.5571364057010236,-0.8593794860264001,0.02497387939168781,4.1413828505350825,4.178999511548065,4.1789383775965865,4.178998690338722,0.02750402920832532,0.010402439703073054,0.08987910346718612,0.9988922219506459,6.350357168815708e-05,0.04828045678823659,0.9989501713550296,7.37605813361482e-05,0.04503922802395636,0.9991499075965247,8.932673732226942e-05,0.04499115620401599
0.898645,-0.45045240043172075,-0.4164141605947741,3.60762188401037,0.827106987210512,0.3559680286418109,-0.12421155140527773,-0.4168360400615602,7.223023206156713,7.794519189690902,-0.14909443313386353,-0.7366558163071044,-0.17214458891042064,0.3392858951777989,3.9124880155030777,3.2642588080000836,-2.154483666898034,-0.6291102297427372,-0.9472206966999719,0.028324949657447654,4.136380569051057,4.178999503493006,4.178975404967028,4.178998576836351,0.021735783571679098,0.00576824563664622,0.089608081850181,0.9988252824575796,6.693949306616887e-05,0.04863212678683641,0.9988724882927066,7.768306232295505e-05,0.04505048442176179,0.999047974038754,0.00010193355777065097,0.04499872818834522
0.93074,-0.2165963741530144,-0.16454582028673723,3.6017477993192712,0.8331965242528787,0.34409402143717494,-0.12363269593789883,-0.414846733597819,7.3485924754694345,7.899283879510785,-0.21824146661398874,-0.7568467821459599,-0.20254514484597896,0.34019496971495067,3.653333972216887,2.941417151183299,-2.3805939490602888,-0.9046947225750914,-1.243853101001007,0.04009157847080334,4.118696992604174,4.178999495097837,4.178986151484052,4.178998424143978,0.01810325621209573,0.0036325273595833683,0.08901865668664363,0.9987545609323156,7.072152526403149e-05,0.049036437096265005,0.9987909509998657,8.153729284096284e-05,0.04506551459843126,0.9989344324228869,0.0001135416158671826,0.045009019661775944
