t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
0.893887,-6.286730139506937,-3.3077480049282775,-3.3899804100468396,0.5534827811453845,0.5040581797286579,-0.1873788973066807,-0.6359805893818172,6.005877245146304,6.277600155465719,-0.6510311691690451,0.7326919748918996,0.13952557591662704,-0.014250147905394294,10.571322322121373,1.5145368514189406,3.3504565974575593,0.002643010633721722,-0.010055803335401665,1.6055196834784675e-05,4.17899923168418,4.178967142948221,4.1789910737747755,4.178999444010762,0.9950617986069146,0.0005709609798141557,0.06322547706235078,0.9994990989289471,3.179109440935469e-05,0.0461744469479801,0.9995544124388002,3.194871439873222e-05,0.04499122182855756,0.9996212060420915,3.187060033461784e-05,0.04500312846428133,0.9997442623727156,2.7162959165559734e-05,0.044963055063457574
0.938582,-6.007739049268959,-3.0256412342603105,-3.4157971780947514,0.545533085339887,0.5150903281374951,-0.1958830858012388,-0.6314312489555349,6.478355780984124,6.345291417942261,-0.5012846398968922,0.7328101025732221,0.13907613817442127,-0.0142494303285707,10.541819146186631,1.3885678366149352,3.743775102945276,0.00225773720785787,-0.010304862934605254,5.95233093009748e-06,4.1789991440117165,4.178986318734679,4.178995033288066,4.178999380331907,0.994364210345696,0.0006975882612186783,0.06857872538351781,0.9994658863792278,3.3212549719217724e-05,0.046279364854208555,0.9995205669835728,3.384545522730241e-05,0.04499090630574747,0.999586710575633,3.449546645854279e-05,0.04500434138203073,0.9997139354230894,3.0326949626167165e-05,0.044968368774164276
0.983276,-5.707657784227715,-2.7406343418200847,-3.4345277045221847,0.5374285227845108,0.52597422927966,-0.20433992949313057,-0.6267111655679845,6.949515691115201,6.407352575322964,-0.33395898987445416,0.7329110107035175,0.13861556887164225,-0.014249164292920951,10.497261278361703,1.2595552467400053,4.1334348037056055,0.0021183838484770245,-0.010378451881461073,3.041938948833074e-06,4.1789990178684215,4.178992497588595,4.178996799787603,4.1789992900136985,0.9934835097100584,0.0008807006356375831,0.07450242576666188,0.9994310759183723,3.481046085541229e-05,0.04640264629812105,0.9994845864547048,3.598052886806852e-05,0.044990649826417366,0.999549246224527,3.746435110600511e-05,0.04500594229293224,0.9996798173854982,3.4118037591217093e-05,0.044973103416106795
1.02797,-5.386560336966105,-2.4529820314243413,-3.445389879721085,0.529171327728985,0.5367066392614561,-0.21274690081430542,-0.6218218750392585,7.418684115648879,6.46364759695344,-0.14921774705479465,0.7330056905239385,0.13815171055763031,-0.014249028335392001,10.437792405503718,1.1276845437072143,4.518978438684211,0.0020472528404288015,-0.010409613169624589,1.8942723148937574e-06,4.178998830373555,4.178995212675011,4.178997732245331,4.178999159333032,0.9923230066281788,0.0011605030818795912,0.08011080879085657,0.9993944640941328,3.6611824239542964e-05,0.04654834800607002,0.9994461985536778,3.838790102699188e-05,0.04499048255839779,0.9995084447760885,4.0801448438493293e-05,0.045008080699400266,0.9996410683368147,3.874904868352319e-05,0.044977426788729014
1.07266,-5.0445506324280345,-2.16294490209679,-3.4476093613740435,0.5207637258931306,0.5472845166307418,-0.22110152721926749,-0.6167648766850975,7.885194616687302,6.514048741281694,0.05275512361667062,0.7330971911891402,0.13768645950963887,-0.014248943672094208,10.363564987629502,0.9931415173880529,4.89996068151717,0.002000962371821697,-0.010426384035856918,1.387056061255499e-06,4.178998538485496,4.178996617267274,4.178998277849823,4.178998963701536,0.9907018639435373,0.0016211426846415116,0.08458366018222958,0.9993558148149753,3.8649279157489275e-05,0.04672166033076911,0.999405095011265,4.1103542412876654e-05,0.044990441761537034,0.9994639278420929,4.4516933995494984e-05,0.045010962763894054,0.9995965305869396,4.4537749875057466e-05,0.04498153102238021
1.11736,-4.681762231811894,-1.870789077028402,-3.4404204752996077,0.5122079700989572,0.5577049094181856,-0.2294013639391683,-0.6115416931014814,8.348387570436222,6.558436570516012,0.27175575361558046,0.7331866229312531,0.13722045889843473,-0.014248881678504667,10.274744693816574,0.8561135916050114,5.27594342187591,0.0019628771263092803,-0.01043795320463541,1.2005890038925745e-06,4.178998052566561,4.178997415916258,4.178998618118691,4.178998655761125,0.9882371574120328,0.002464706531504536,0.08756410062050214,0.9993148522373907,4.0962577584654534e-05,0.046929283061657494,0.9993609312169212,4.4163794343757604e-05,0.04499057204896274,0.9994153231616899,4.860468040307377e-05,0.045014870543363825,0.9995445675451361,5.196304180366927e-05,0.044985689339593155
1.16205,-4.298358014723623,-1.5767858307439084,-3.4230670977139654,0.5035063502467012,0.5679649272357515,-0.23764398537518294,-0.606153884510075,8.807610757575565,6.596700023653369,0.5075606933547443,0.7332743524775113,0.13675394121058126,-0.014248828018941803,10.171510881392942,0.7167898663009517,5.646495011690239,0.0019219642047506038,-0.010449364190154282,1.2782346053365907e-06,4.178997160178157,4.178997890671788,4.178998837219365,4.17899813578788,0.9839510616690865,0.004286095742946298,0.08917854621354222,0.9992712517169281,4.360052046262871e-05,0.04717994256823727,0.9993133280684867,4.760314843436919e-05,0.04499092546567477,0.9993622794156881,5.304374600179399e-05,0.04502018663656578,0.99948287976573,6.168777940606743e-05,0.044990392303958536
1.20675,-3.8945298345125776,-1.2812112129927926,-3.394803523934894,0.49466119824423904,0.5780617301321196,-0.245826980879436,-0.6006030547541007,9.262219975047103,6.628736491392563,0.7599272010106753,0.73336025344673,0.13628691351597877,-0.014248770889058106,10.054056266870331,0.5753609244275348,6.011190188324005,0.0018619985284714093,-0.01046786932444213,1.8065119364399052e-06,4.178995264536143,4.178998166973386,4.178998977292919,4.178997170775914,0.9744069381990783,0.009544123470008237,0.08983303031506262,0.9992246281800119,4.662353691620539e-05,0.047485105180667654,0.9992618764726348,5.1451595852013894e-05,0.04499156196905201,0.999304477624253,5.7801791435070804e-05,0.04502741941137683,0.9994087249041863,7.415486154372081e-05,0.04499667094407315
1.25144,-3.4704981466055185,-0.9843456694941569,-3.354895324253424,0.4856748937832807,0.5879925189524241,-0.2539479504643343,-0.5948908576026948,9.711579633134672,6.654451882416348,1.0285935279165088,0.73344347428814,0.13581905874615452,-0.014248690148154679,9.922585558115204,0.4320183598741364,6.36960990253734,0.0017390809642711972,-0.0105173881502465,3.722817099421027e-06,4.178990332821984,4.178998298190114,4.178999059411125,4.178995169822175,0.9352045258531302,0.0392024123459481,0.0899900925223356,0.9991745210189027,5.0107161109158214e-05,0.04785995647515908,0.9992061446390158,5.573183361901001e-05,0.04499255176625193,0.9992416419317716,6.283569248149659e-05,0.045037199030921696,0.99932129606799,8.742883619624597e-05,0.04500642589928151
1.29614,-3.026511611523623,-0.6864736601893501,-3.3026201871106924,0.4765498783497326,0.5977545130741472,-0.2620044958960746,-0.589019013677838,10.155063291410166,6.673760668574656,1.3132791962658017,0.7335212014071006,0.1353489907638674,-0.01424852375920931,9.777311533666547,0.2869535582139893,6.721339925461054,0.0014179726963568166,-0.010686892827525805,1.0675844901420322e-05,4.1789754737570055,4.178998289856917,4.178999091354035,4.178990726161996,0.05126631717567408,0.8839382086774561,0.08999999048908187,0.9991203742392271,5.414677967557102e-05,0.04832471632955802,0.9991456872706959,6.04573683198643e-05,0.04499398276095045,0.9991735534447117,6.80884870599226e-05,0.04505016559491778,0.9992254563823967,9.58396855933565e-05,0.04502121443971833
1.34083,-2.562846677875371,-0.3878832766527853,-3.2372687508428415,0.467288696652816,0.6073448781410058,-0.2699941979756854,-0.5829893694013578,10.592054019447108,6.686585875574038,1.6136852145559382,0.7335845767960083,0.13487134687770577,-0.014248046609103188,9.61845461556624,0.14035727277631216,7.065965195633143,0.000665475572909788,-0.011110615472197934,2.8186308507782452e-05,4.178939378130342,4.178998137882178,4.178999079117322,4.178980822321524,0.024609862833488507,0.026656454342185568,0.08997856390957706,0.9990615100353437,5.8864203883385703e-05,0.048906280751871506,0.9990800545828026,6.563268789328038e-05,0.04499597996662714,0.9991000681819404,7.348526277125843e-05,0.04506659767006767,0.9991279784306246,9.747795177213656e-05,0.045041827014011666
1.38553,-2.079807149720051,-0.088865860330426,-3.1581454308539043,0.4578940856846258,0.6167605846977898,-0.27791456750253907,-0.5768040216806635,11.021944738442166,6.692859054719921,1.9294940403759226,0.7336143198040014,0.13437476497710701,-0.014246786839949564,8.609000430149342,-0.24801182409022943,7.362149806599977,-14.268605019839951,-14.270544058793563,0.5834358071720507,3.3016189981272657,4.178997849942565,4.178999040213231,4.178964886310812,0.017507027923661128,0.007102834909827378,0.08969900671105539,0.9989970931331722,6.441690217161399e-05,0.04963977911963485,0.9990088238149881,7.12307678144334e-05,0.044998743428643406,0.9990212100942422,7.885808769830266e-05,0.045084616842127286,0.9990329301610573,9.504826956730651e-05,0.045073877994337
