t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.944923,1.549715922689267,1.4562356276112853,-3.4516691273450055,-0.1514654731538205,0.6756580163852345,0.05174208286106648,-0.7196298464305517,4.125313524608063,8.293121084193054,1.4416004644553873,0.7291442568478275,0.10000191008279663,0.3290719523107604,13.832761637301946,-7.310363820316142,7.4537559665878375,-0.03519348576739905,0.2380399933579218,2.7599676060208837e-05,4.178927290638616,4.178999324888738,4.17896882447405,4.178999294325574,0.04976224659478291,0.05002337479560197,0.08999821068289059,0.9981086144007246,0.00014107090815208584,0.05940039102144614,0.9982039446843058,0.00010612302206223859,0.05471475130439504,0.9983280746562977,8.040549651887194e-05,0.045008253826251336,0.9984505467214476,5.75833277104275e-05,0.04852524444016084,0.9995926247895879,2.087803032651408e-05,0.044985273433003924
0.986006,1.7309314963045495,1.790821617162554,-3.3861173226449788,-0.15680099362563196,0.6751993491828367,0.036073848904053255,-0.7198735085845235,4.693613021340272,7.992785100031229,1.7478275126504275,0.7276983821357287,0.10978144738521421,0.329073086204514,13.411173339994852,-7.620761925322057,7.21369611126039,-0.03816181606036947,0.2329663064746007,1.8805228151321007e-05,4.178793110161207,4.178999271361064,4.17882140006593,4.178999259994916,0.035536166220666326,0.01422608037411659,0.08997776864572747,0.9979553615351893,0.00015325286553534664,0.061396155957119065,0.998098554390619,0.00010539029368689794,0.05459526585867932,0.9982499793058667,7.809535043095161e-05,0.04500804023417701,0.9983959795301185,5.456719132923258e-05,0.0481721025081281,0.9995717119815134,2.0912808074569104e-05,0.044986747906298044
1.02709,1.9351395885831457,2.11280559460432,-3.308190108982363,-0.16207978014400273,0.6747034519884875,0.02038683516916091,-0.7197844659133662,5.244592157650616,7.679696847632106,2.0441920403636353,0.726130557761237,0.1193525394199426,0.3290738587907823,12.183873581610904,-7.679394725712268,7.024460783770252,-13.648337418927007,-13.597369710866715,0.5603327190815734,3.335034409788246,4.178999201447749,4.177639994703927,4.178999209135937,0.028983228902464735,0.00655293731820159,0.08989529143254389,0.9977877662229542,0.0001675953122351993,0.0636906624868816,0.9979946909620627,0.00010386342855624829,0.054342976558107374,0.9981741201746666,7.585913120010565e-05,0.04500772500127698,0.9983442482055216,5.173132459687008e-05,0.04785581805647063,0.9995507776104023,2.093437111095477e-05,0.04498802513815467
1.06817,2.160940246087475,2.4218426958909594,-3.2182309232385498,-0.16316029781319671,0.6709471160634122,0.009623476111567998,-0.7232675732203051,5.745149414851273,7.364199749347581,2.3327821016184176,0.16540786985692554,-0.4392762121034982,0.3520943380418626,12.650772056027597,-7.767013227685303,6.507509281369749,0.15857721404843272,0.04798914148647585,-0.00017401731338356261,4.178779583620282,4.1789991176040395,4.178517884584486,4.178999136469335,0.025244745793482994,0.0037384831089817398,0.08967908529961188,0.9976031438560989,0.00018462236685527203,0.06627015550797967,0.9978930664770865,0.00010162448497621553,0.053975285320861606,0.9981003517519746,7.376842269184487e-05,0.04500738743377253,0.9982951747755245,4.907342999709772e-05,0.047573587062487085,0.9995298346559753,2.094295442712003e-05,0.04498914244655414
1.10926,2.4076979314950258,2.71781381425774,-3.1168327506075078,-0.16015524103616213,0.6638910469526753,0.003733172073059714,-0.7304689925463694,6.26488853717715,7.045102968520892,2.600133939707629,0.17192279097679078,-0.43730464592817775,0.3520871887860443,10.656930665719326,-7.355277206791824,6.11320923208377,27.52336895690542,-26.96391333502018,-1.1122220084848842,4.1789641948756655,4.178998993698588,2.506449837015455,4.178999053085287,0.022840222841300963,0.002404522952182031,0.08922829708672385,0.9973980800643035,0.0002050637917952879,0.06909153283974662,0.9977943024459134,9.876403117311077e-05,0.053511710799436264,0.9980284930261257,7.185872584896404e-05,0.04500707406677681,0.9982485911734597,4.65836020649464e-05,0.047321900202162356,0.9995088961769407,2.093847903457425e-05,0.04499012944486467
1.15034,2.674135854237808,3.001059240838352,-3.0047330470267535,-0.16512649341632407,0.6463931647472236,-0.008578949501359725,-0.7448727570281677,6.702713498875804,6.742921781239118,2.8512865165469075,1.302681574848606,-1.5450789848498232,0.30639311668030017,10.659539715799836,-7.824848811902968,4.821482992078907,17.831017881972787,-16.796342342637306,-0.7065999081483726,4.178976800721641,4.178998835370506,3.116420424074668,4.178998959162783,0.021170565765900432,0.0016696570754005323,0.08841476968299135,0.9971681924418699,0.00022988762243360844,0.07207056389626167,0.9976989018068501,9.540063906338466e-05,0.052976804273177344,0.9979583628764548,7.01301496709106e-05,0.04500680977307784,0.9982043393041692,4.4251869290350654e-05,0.04709749049930656,0.99948797567709,2.0920499850603663e-05,0.04499100995484218
1.19142,2.9586091864358623,3.27155269634651,-2.8833139516174424,-0.18291420575193534,0.6109008377025102,-0.031575567944390766,-0.769639804783567,7.140645649716191,6.421448907028771,3.049370343171407,2.035243788688983,-2.2351330138675944,0.277363456318852,9.814205180535852,-8.518351577966678,3.106613383650796,16.01230806818097,-14.719130516660764,-0.6273383216076742,4.178983194816958,4.178998622039098,3.235617073706486,4.178998845995174,0.019947369327638728,0.001223196438261703,0.0870934437771089,0.9969078229293102,0.00026036951255974626,0.07508465920894246,0.9976072418938106,9.165991303946811e-05,0.05239610750091083,0.9978897910477803,6.857182867437865e-05,0.04500660653521471,0.9981622685741643,4.207073000486677e-05,0.046897574313481585,0.9994670869677963,2.0888709293791548e-05,0.04499180133832875
1.23251,3.2604218387211867,3.5282896231436434,-2.755152105447433,-0.20954919825849677,0.5602165286006738,-0.0626489709185861,-0.798950270173612,7.543848423765656,6.071484450062194,3.1770011712563364,2.6930868756492545,-2.8398477255269765,0.2515901464188914,8.613064169209919,-9.480591429068294,1.0273627956196825,11.025528821217408,-9.58005896980443,-0.42067997944362545,4.178986712770677,4.178998325209858,3.546384854872512,4.178998710260465,0.01901472104586088,0.0009326482817778479,0.08512518443341692,0.9966095424598358,0.00029828046947444684,0.07799675519461415,0.9975195982977617,8.764359604888199e-05,0.05179077785372956,0.9978226064675667,6.718458021361057e-05,0.04500646943493926,0.9981222362273704,4.003234679386398e-05,0.046719557855331315,0.9994462436568832,2.0843310913176837e-05,0.04499251552994165
1.27359,3.5778675544169105,3.7698542240474295,-2.6234773637386817,-0.24223019354516154,0.4954781331379931,-0.10002311329713082,-0.8281431980585785,7.897704013923786,5.681987726332478,3.219208922320132,3.1460551725515677,-3.23343093283992,0.23430710295500076,7.027199418263575,-10.624122031952098,-1.271603252482965,0.8293513517647408,0.6654953412892913,-0.003071394897900464,4.178988409239746,4.1789979285325805,4.1743691447525295,4.1789985540755845,0.01828069420516953,0.0007340268406913464,0.08242170311765232,0.9962635597570205,0.0003459827028151975,0.08067248622401531,0.9974361336022187,8.346469554297905e-05,0.051182466118354135,0.9977566407163003,6.596575126636097e-05,0.04500639976162122,0.9980841027215654,3.813350580497922e-05,0.04656144506392557,0.9994254585548779,2.0785102005309217e-05,0.04499316095416123
1.31467,3.9085925479358288,3.994441732463423,-2.4920280105770733,-0.27595019503538887,0.42245146257834953,-0.1397137139774579,-0.8519777858899797,8.186406588113085,5.245510661066024,3.1669668966583595,3.180127902797356,-3.206089995617922,0.23418091902871696,3.6179797797714968,-10.40489726784842,-1.99251300972533,-25.700336577726738,-25.9877596924364,1.0902616471462763,2.539503063797272,4.178997410693173,4.17899342677275,4.178998246433898,0.017687519688400856,0.0005931745167686766,0.07900271654585507,0.9958568769799205,0.0004066827771000387,0.08300792520261702,0.9973568997362048,7.923386601393021e-05,0.05059049749917074,0.9976917245067837,6.491620951660425e-05,0.04500639736846925,0.9980477295233696,3.63731981957849e-05,0.046421555126524905,0.9994047429171438,2.0715637734104055e-05,0.04499374353654278
