t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6
9.19877,-4.855987690424141,-7.577355443593383,-2.0880259696155417,0.8702399548687191,0.14931652712749824,-0.4000197015695086,-0.2457057675226794,7.029733244731358,0.804933944156325,0.17855109957558604,-0.37690157379573064,0.8608024041820941,-0.10432562340878809,8.238354433290755,0.6116172208002922,-1.0765841879922446,-1.8202285789115997,1.99425651704419,-0.0783327920987045,4.178999021876136,4.177934679866992,4.1789994873248855,4.060140542089362,0.0009768198101020877,2.183780093316109e-05,0.0449941275024279,0.002319087437607846,2.790075718020747e-05,0.04540674600210529,0.0033783177710859985,6.054002493670885e-05,0.04633616876093873,0.006767084481603923,6.395095337995686e-05,0.04670167067319914,0.01467852435207201,0.0014107772193620637,0.08944154691049268,0.9815265972641645,0.0002705885533122815,0.07843765801269513,0.9815315218930232,0.000304027413133289,0.046948207104594054
9.23965,-4.561613885873934,-7.54394779001133,-2.081559938923078,0.8781631026142154,0.1473120316273714,-0.3814967699665197,-0.2481713828120868,7.366545311504188,0.8299389450797091,0.13453666097030548,-0.451318734968693,0.9423344218465171,-0.1075281354901131,7.662935237869029,0.7018143581559843,-1.6325517143385635,0.08708198041480215,0.09130668148862058,-0.0005904325349778718,4.178998906478752,4.178122544880083,4.1789994571117,4.177234125773484,0.0009549916414614626,2.1828168640625182e-05,0.04499377447213797,0.0022904977658418186,2.8589671766027584e-05,0.045426918478287254,0.0033180046842822197,6.0313086803778626e-05,0.04632647138721372,0.0067000043931081535,6.708008849576909e-05,0.04687112625395376,0.013537030249966171,0.0011414941021058395,0.08914985321670595,0.9812282019038534,0.00029839536031110053,0.0800355225334266,0.9812287916348515,0.000302730258171677,0.04878908400608057
9.28054,-4.253946018197592,-7.509441804014935,-2.077358221879553,0.8861310647468073,0.1448372213118389,-0.3618562753795519,-0.25070708322120505,7.6798322762630065,0.8586315130403891,0.06779237101867017,-0.4477585261867476,0.9460673508375397,-0.10755227438872521,6.720348945323287,0.7930456869285032,-1.8313507496199037,6.163966019558965,6.098906511792281,0.2475615523325434,4.178998763454816,3.806380061303954,4.1789994231685,4.17865241261665,0.0009331779392229551,2.1813702238507432e-05,0.04499339844357479,0.0022611688166524818,2.9328949189336672e-05,0.04544910627702729,0.0032580006353365386,6.0004048945681035e-05,0.04631324417512747,0.006629401379929339,7.060301317881518e-05,0.04707134278807692,0.012602103748487732,0.0009349265014784401,0.08873873876698962,0.980895982427508,0.0003322194763453739,0.08028693874079344,0.9809294792288413,0.0002993124060101659,0.06136291578700762
9.32142,-3.9342560836460683,-7.473702287142042,-2.076055356374341,0.8942383481772109,0.1452265387562647,-0.3404114606114502,-0.2517283442675028,7.954583094043106,0.8910539293156954,-0.007079502479866162,-0.1957545426999791,1.195411479440477,-0.09743111259970665,4.7720118504007605,0.8607899836182917,-1.1592752583783523,-33.104238431495695,33.464291418036325,-1.363490954063584,4.17899856694248,4.178919899275334,4.17899938509019,2.1285567441899045,0.0009113847949708783,2.1793144252076866e-05,0.044993000067461895,0.002231049925941101,3.0118890711381075e-05,0.04547343303780554,0.0031983902681713768,5.9610367165161895e-05,0.04629642938759631,0.006554833774208044,7.456760572129446e-05,0.04730854153058446,0.011827569191933222,0.0007745345565545098,0.08817450885589252,0.9805221439211508,0.0003738385063572903,0.08208543367691183,0.9806374113161384,0.00029206791270301047,0.06093083460285146
9.3623,-3.604910264580136,-7.4365760642308265,-2.077207841235039,0.9084762693359633,0.13964566511437262,-0.30091499426330076,-0.25420507325943065,8.149679236969783,0.9262459638157234,-0.05447463446826419,-1.5491688750569883,2.563546007623783,-0.1531752797125524,4.245556050710236,1.094468623626655,-3.397266534472521,-7.187948338924994,7.897994617439911,-0.3116979121186014,4.178998328603398,4.178875069956795,4.178999345960747,3.7101553877594426,0.0008896198657108137,2.176492926006458e-05,0.04499258177874723,0.002200092500350623,3.09574255904777e-05,0.045499955032111246,0.0031392554638676414,5.913480430373504e-05,0.04627621456173762,0.0064758207153344715,7.901305887357328e-05,0.047589355765175,0.011178654595710439,0.0006489145962227828,0.08742283372232362,0.9800967727098197,0.00042537121133099704,0.0837337450064799,0.9803541764859802,0.0002832348301581143,0.06023035210581025
9.40319,-3.2679164614932366,-7.397795651856911,-2.0821178524327912,0.9272806585914906,0.12298929548654365,-0.24043856383865053,-0.2592558611201337,8.323252068731092,0.9709915792328137,-0.19336649353056004,-1.8430367531014888,2.8864430026488015,-0.16591855494300484,2.1810952168450495,1.1363642327479282,-4.321940741208388,10.18658098543472,9.960024238299171,0.3966041435597978,4.178998010715028,3.5825411122229034,4.178999296242415,4.178937035056115,0.0008678916625357697,2.172820317504403e-05,0.04499214540088332,0.002168249642235032,3.184285811559051e-05,0.04552874115263926,0.0030806738525006906,5.858161136695106e-05,0.04625286138238981,0.006391829754442244,8.399096089222767e-05,0.04792223576107649,0.010629118242321897,0.0005495363533885427,0.08644966606159074,0.9796068705840731,0.0004899021257464944,0.08517996793665625,0.9800810870419524,0.0002730894440279083,0.059384672998137544
9.44407,-2.9255166403971837,-7.3571709037776545,-2.0935090210008918,0.9433190678278538,0.10889024646574681,-0.17222991129226312,-0.26197141658958917,8.41242269057826,1.0174500302423883,-0.37006219232615456,-1.4265745308415752,3.293642811296635,-0.1497040229797708,0.1836161056836669,1.4847714350920742,-5.617119273118613,0.4945212938186219,0.2134806686903865,3.4836349503481735e-05,4.17899754047405,4.178929054833837,4.178999223520038,4.1789797572758225,0.0008462092605831332,2.168240195263656e-05,0.044991692951615314,0.0021354776587386663,3.27719834963661e-05,0.04555980971703024,0.0030227175116655743,5.795634083511646e-05,0.046226693001347005,0.006302271095129747,8.955865931249704e-05,0.04831730205041594,0.010158921189259857,0.0004701970530620396,0.08522647123957146,0.9790350426970607,0.0005718278870124292,0.08640479739924417,0.9798191222065268,0.00026196483542561465,0.05844273000038944
9.48495,-2.581111960951808,-7.31437986638335,-2.113251619527367,0.9547250802386386,0.09948048714767646,-0.10031515683719765,-0.26180266600783786,8.419929544106944,1.0781525576449227,-0.5997092131005284,-1.4063568113463856,3.3023706301614193,-0.14970259875082192,-2.1513590253148984,1.8065998177889804,-6.020490527458214,0.49536530865674794,0.20960139785731682,1.7345876863078015e-05,4.178996835551376,4.178968184606532,4.178999115640882,4.178991988542385,0.000824582358549639,2.162690203349422e-05,0.04499122779420101,0.0021017389679853023,3.3738690753363885e-05,0.045593071330451984,0.002965445702473049,5.7271809192525094e-05,0.04619833656380534,0.006206514237357761,9.575685777198679e-05,0.048784821481850475,0.009752439585930193,0.0004064816033296642,0.0837401822227145,0.9783578930663188,0.000677149630741863,0.08740376340778183,0.9795688495511081,0.0002502726554185895,0.0574500794780669
9.52584,-2.2383480255559363,-7.268834258257331,-2.1427701923672613,0.9609613157512553,0.08997527843753791,-0.027799222785195518,-0.26016362681051997,8.33197463933147,1.1520125285150846,-0.8458474284394217,-1.386104585641938,3.3109398511851618,-0.1497018895921321,-4.487333650742141,2.0970466062678264,-6.063681178130932,0.4964310104731117,0.2062294563658124,1.0268618859326327e-05,4.178995690042256,4.17898367247555,4.1789989496075055,4.17899585444242,0.0008030208691136148,2.156148943602414e-05,0.044990753068143624,0.002067002633184543,3.473633480075911e-05,0.04562839791243524,0.0029088994354341015,5.654626703894755e-05,0.0461686264634777,0.00610389750342452,0.00010261673393324066,0.04933541521832073,0.009397411771800505,0.0003550278141296859,0.08199770659426811,0.9775434146751368,0.0008144783911819337,0.08818821663050165,0.9793304134218231,0.00023843612928493526,0.056451138777262905
9.56672,-1.9011357012508396,-7.220021429705269,-2.182437831562276,0.9619850602540698,0.08042812113681792,0.04492566407836157,-0.2570950297291934,8.14851711350589,1.2377469560995367,-1.093751425092549,-1.3658087904074054,3.3193712157240944,-0.14970146977592136,-6.772575774857406,2.349628349371668,-5.751341512741607,0.497569342117964,0.2030130409969899,8.025775415507152e-06,4.1789936452833985,4.178990447365812,4.178998685650805,4.178997475833617,0.0007815347868041077,2.1486082309507067e-05,0.04499027241979584,0.0020312457890416845,3.575684414285856e-05,0.04566558473944456,0.0028530990191170435,5.580041631705798e-05,0.04613846412902178,0.005993748502418478,0.00011014900100604231,0.04997870881200186,0.009084131032751762,0.0003132807390487439,0.08003121857565179,0.9765471889708557,0.0009962257042810643,0.08878041518983203,0.9791035800816945,0.00022683334012866543,0.055484659857243615
